=======================================================
  CSI Amplitude Bridge (occupancy from amplitude std)
  nodes=[1, 5] scale=10.0 window=3.0s
  backend=http://127.0.0.1:8000/sensor-data
=======================================================
[csi-amp] amp_std=0.799 -> presence=7.99 | n1=0.80(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.842 -> presence=8.12 | n1=0.84(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.833 -> presence=8.18 | n1=0.83(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.874 -> presence=8.35 | n1=0.87(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.851 -> presence=8.4 | n1=0.85(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.859 -> presence=8.46 | n1=0.86(rssi-19) n5=0.00(rssi-29)
[csi-amp] amp_std=0.796 -> presence=8.31 | n1=0.80(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.791 -> presence=8.19 | n1=0.79(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.815 -> presence=8.18 | n1=0.82(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.851 -> presence=8.28 | n1=0.85(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.878 -> presence=8.43 | n1=0.88(rssi-19) n5=0.60(rssi-28)
[csi-amp] amp_std=0.852 -> presence=8.46 | n1=0.85(rssi-19) n5=0.56(rssi-28)
[csi-amp] amp_std=0.891 -> presence=8.59 | n1=0.89(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.890 -> presence=8.69 | n1=0.89(rssi-19) n5=0.77(rssi-28)
[csi-amp] amp_std=0.873 -> presence=8.7 | n1=0.87(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.817 -> presence=8.54 | n1=0.82(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.878 -> presence=8.61 | n1=0.88(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.915 -> presence=8.77 | n1=0.92(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.907 -> presence=8.86 | n1=0.91(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.868 -> presence=8.81 | n1=0.87(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.833 -> presence=8.66 | n1=0.83(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.853 -> presence=8.62 | n1=0.85(rssi-19) n5=0.75(rssi-28)
[csi-amp] amp_std=0.847 -> presence=8.58 | n1=0.85(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.844 -> presence=8.54 | n1=0.84(rssi-19) n5=0.63(rssi-28)
[csi-amp] amp_std=0.872 -> presence=8.59 | n1=0.87(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.876 -> presence=8.64 | n1=0.88(rssi-19) n5=0.74(rssi-28)
[csi-amp] amp_std=0.820 -> presence=8.51 | n1=0.82(rssi-19) n5=0.77(rssi-28)
[csi-amp] amp_std=0.784 -> presence=8.31 | n1=0.78(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.847 -> presence=8.36 | n1=0.85(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.869 -> presence=8.46 | n1=0.87(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.864 -> presence=8.51 | n1=0.86(rssi-19) n5=0.71(rssi-29)
[csi-amp] amp_std=0.818 -> presence=8.41 | n1=0.82(rssi-20) n5=0.65(rssi-28)
[csi-amp] amp_std=0.825 -> presence=8.36 | n1=0.82(rssi-19) n5=0.63(rssi-28)
[csi-amp] amp_std=0.856 -> presence=8.42 | n1=0.86(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.804 -> presence=8.31 | n1=0.80(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.751 -> presence=8.07 | n1=0.75(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.772 -> presence=7.97 | n1=0.77(rssi-19) n5=0.66(rssi-28)
[csi-amp] amp_std=0.843 -> presence=8.11 | n1=0.84(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.805 -> presence=8.09 | n1=0.81(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.839 -> presence=8.18 | n1=0.84(rssi-20) n5=0.74(rssi-28)
[csi-amp] amp_std=0.826 -> presence=8.2 | n1=0.83(rssi-19) n5=0.67(rssi-28)
[csi-amp] amp_std=0.866 -> presence=8.34 | n1=0.87(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.915 -> presence=8.58 | n1=0.92(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.878 -> presence=8.64 | n1=0.88(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.879 -> presence=8.69 | n1=0.88(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.810 -> presence=8.51 | n1=0.81(rssi-19) n5=0.75(rssi-28)
[csi-amp] amp_std=0.781 -> presence=8.3 | n1=0.78(rssi-19) n5=0.72(rssi-28)
[csi-amp] amp_std=0.802 -> presence=8.22 | n1=0.80(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.831 -> presence=8.25 | n1=0.83(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.813 -> presence=8.21 | n1=0.81(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.875 -> presence=8.37 | n1=0.88(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.862 -> presence=8.45 | n1=0.86(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.835 -> presence=8.42 | n1=0.83(rssi-19) n5=0.61(rssi-28)
[csi-amp] amp_std=0.827 -> presence=8.37 | n1=0.83(rssi-19) n5=0.77(rssi-28)
[csi-amp] amp_std=0.813 -> presence=8.3 | n1=0.81(rssi-19) n5=0.72(rssi-28)
[csi-amp] amp_std=0.816 -> presence=8.26 | n1=0.82(rssi-19) n5=0.72(rssi-28)
[csi-amp] amp_std=0.785 -> presence=8.13 | n1=0.78(rssi-19) n5=0.66(rssi-28)
[csi-amp] amp_std=0.880 -> presence=8.33 | n1=0.88(rssi-19) n5=0.67(rssi-28)
[csi-amp] amp_std=0.860 -> presence=8.41 | n1=0.86(rssi-18) n5=0.68(rssi-28)
[csi-amp] amp_std=0.813 -> presence=8.33 | n1=0.81(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.842 -> presence=8.35 | n1=0.84(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.863 -> presence=8.44 | n1=0.86(rssi-19) n5=0.72(rssi-28)
[csi-amp] amp_std=0.870 -> presence=8.51 | n1=0.87(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.861 -> presence=8.54 | n1=0.86(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.828 -> presence=8.46 | n1=0.83(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.895 -> presence=8.61 | n1=0.89(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.829 -> presence=8.51 | n1=0.83(rssi-19) n5=0.66(rssi-28)
[csi-amp] amp_std=0.839 -> presence=8.48 | n1=0.84(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.860 -> presence=8.51 | n1=0.86(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.878 -> presence=8.59 | n1=0.88(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.852 -> presence=8.57 | n1=0.85(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.850 -> presence=8.55 | n1=0.85(rssi-19) n5=0.77(rssi-28)
[csi-amp] amp_std=0.838 -> presence=8.5 | n1=0.84(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.820 -> presence=8.41 | n1=0.82(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.859 -> presence=8.47 | n1=0.86(rssi-19) n5=0.67(rssi-28)
[csi-amp] amp_std=0.890 -> presence=8.6 | n1=0.89(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.879 -> presence=8.65 | n1=0.88(rssi-19) n5=0.67(rssi-28)
[csi-amp] amp_std=0.895 -> presence=8.74 | n1=0.89(rssi-19) n5=0.62(rssi-28)
[csi-amp] amp_std=0.864 -> presence=8.71 | n1=0.86(rssi-19) n5=0.66(rssi-28)
[csi-amp] amp_std=0.850 -> presence=8.65 | n1=0.85(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.850 -> presence=8.6 | n1=0.85(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.833 -> presence=8.52 | n1=0.83(rssi-19) n5=0.74(rssi-28)
[csi-amp] amp_std=0.863 -> presence=8.55 | n1=0.86(rssi-19) n5=0.61(rssi-28)
[csi-amp] amp_std=0.824 -> presence=8.46 | n1=0.82(rssi-19) n5=0.63(rssi-28)
[csi-amp] amp_std=0.818 -> presence=8.38 | n1=0.82(rssi-20) n5=0.65(rssi-28)
[csi-amp] amp_std=0.834 -> presence=8.37 | n1=0.83(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.859 -> presence=8.43 | n1=0.86(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.794 -> presence=8.29 | n1=0.79(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.861 -> presence=8.38 | n1=0.86(rssi-19) n5=0.66(rssi-28)
[csi-amp] amp_std=0.833 -> presence=8.37 | n1=0.83(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.848 -> presence=8.4 | n1=0.85(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.827 -> presence=8.36 | n1=0.83(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.834 -> presence=8.36 | n1=0.83(rssi-19) n5=0.67(rssi-28)
[csi-amp] amp_std=0.842 -> presence=8.38 | n1=0.83(rssi-19) n5=0.84(rssi-28)
[csi-amp] amp_std=0.861 -> presence=8.45 | n1=0.84(rssi-20) n5=0.86(rssi-28)
[csi-amp] amp_std=0.768 -> presence=8.22 | n1=0.77(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.738 -> presence=7.97 | n1=0.74(rssi-19) n5=0.74(rssi-28)
[csi-amp] amp_std=0.000 -> presence=5.58 | n1=0.00(rssi-21) n5=0.00(rssi-30)
[csi-amp] amp_std=0.842 -> presence=6.43 | n1=0.84(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.861 -> presence=7.08 | n1=0.86(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.870 -> presence=7.57 | n1=0.87(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.820 -> presence=7.76 | n1=0.82(rssi-19) n5=0.67(rssi-28)
[csi-amp] amp_std=0.803 -> presence=7.84 | n1=0.80(rssi-19) n5=0.62(rssi-28)
[csi-amp] amp_std=0.862 -> presence=8.07 | n1=0.86(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.848 -> presence=8.19 | n1=0.85(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.856 -> presence=8.3 | n1=0.86(rssi-19) n5=0.72(rssi-28)
[csi-amp] amp_std=0.879 -> presence=8.45 | n1=0.88(rssi-20) n5=0.72(rssi-28)
[csi-amp] amp_std=0.850 -> presence=8.46 | n1=0.85(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.787 -> presence=8.29 | n1=0.79(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.829 -> presence=8.29 | n1=0.83(rssi-19) n5=0.66(rssi-28)
[csi-amp] amp_std=0.856 -> presence=8.37 | n1=0.86(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=0.846 -> presence=8.4 | n1=0.85(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.813 -> presence=8.32 | n1=0.81(rssi-19) n5=0.66(rssi-28)
[csi-amp] amp_std=0.803 -> presence=8.23 | n1=0.80(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.760 -> presence=8.04 | n1=0.76(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.841 -> presence=8.15 | n1=0.84(rssi-20) n5=0.68(rssi-28)
[csi-amp] amp_std=0.864 -> presence=8.3 | n1=0.86(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.853 -> presence=8.37 | n1=0.85(rssi-19) n5=0.75(rssi-28)
